sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
3804,"Terese Berceau",Terese,,Berceau,,,1,D,1,Rep,HD-077
3806,"Christopher Danou",Christopher,,Danou,,,1,D,1,Rep,HD-092
3808,"Cory Mason",Cory,,Mason,,,1,D,1,Rep,HD-066
3812,"Sondy Pope-Roberts",Sondy,,Pope-Roberts,,,1,D,1,Rep,HD-080
3818,"Jennifer Shilling",Jennifer,K.,Shilling,,,1,D,2,Sen,SD-032
3819,"Christine Sinicki",Christine,,Sinicki,,,1,D,1,Rep,HD-020
3824,"Andrew Jorgensen",Andrew,Earl,Jorgensen,,,1,D,1,Rep,HD-043
3825,"Peter Barca",Peter,W.,Barca,,,1,D,1,Rep,HD-064
3834,"Leon Young",Leon,D.,Young,,,1,D,1,Rep,HD-016
3835,"Robert Wirch",Robert,W.,Wirch,,,1,D,2,Sen,SD-022
3837,"David Hansen",David,N.,Hansen,,Dave,1,D,2,Sen,SD-030
3838,"Julie Lassa",Julie,,Lassa,,,1,D,2,Sen,SD-024
3840,"Mark Miller",Mark,,Miller,,,1,D,2,Sen,SD-016
3844,"Gary Tauchen",Gary,,Tauchen,,,2,R,1,Rep,HD-006
3845,"Gary Hebl",Gary,,Hebl,,,1,D,1,Rep,HD-046
3846,"Jeffrey Mursau",Jeffrey,L.,Mursau,,,2,R,1,Rep,HD-036
3847,"Dan Knodl",Dan,,Knodl,,,2,R,1,Rep,HD-024
3851,"Gordon Hintz",Gordon,,Hintz,,,1,D,1,Rep,HD-054
3855,"Joan Ballweg",Joan,A.,Ballweg,,,2,R,1,Rep,HD-041
3858,"Robert Cowles",Robert,L.,Cowles,,,2,R,2,Sen,SD-002
3864,"Fred Risser",Fred,,Risser,,,1,D,2,Sen,SD-026
3866,"Luther Olsen",Luther,S.,Olsen,,,2,R,2,Sen,SD-014
3867,"Jon Erpenbach",Jon,,Erpenbach,,,1,D,2,Sen,SD-027
3869,"Nick Milroy",Nick,,Milroy,,,1,D,1,Rep,HD-073
3870,"Samantha Kerkman",Samantha,,Kerkman,,,2,R,1,Rep,HD-061
3877,"Kathleen Vinehout",Kathleen,,Vinehout,,,1,D,2,Sen,SD-031
3886,"Alvin Ott",Alvin,,Ott,,,2,R,1,Rep,HD-003
3887,"Lena Taylor",Lena,C.,Taylor,,,1,D,2,Sen,SD-004
3891,"Ed Brooks",Ed,,Brooks,,,2,R,1,Rep,HD-050
3894,"Daniel LeMahieu",Daniel,,LeMahieu,,,2,R,2,Sen,HD-059
3895,"John Murtha",John,,Murtha,,,2,R,1,Rep,HD-029
3896,"Lee Nerison",Lee,,Nerison,,,2,R,1,Rep,HD-096
3897,"Keith Ripp",Keith,,Ripp,,,2,R,1,Rep,HD-042
3902,"Alberta Darling",Alberta,H.,Darling,,,2,R,2,Sen,SD-008
3903,"Mary Lazich",Mary,,Lazich,,,2,R,2,Sen,SD-028
3905,"Jerry Petrowski",Jerry,,Petrowski,,,2,R,2,Sen,SD-029
3906,"Roger Roth",Roger,J.,Roth,Jr.,,2,R,2,Sen,SD-019
3908,"Sheila Harsdorf",Sheila,,Harsdorf,,,2,R,2,Sen,SD-010
3914,"Josh Zepnick",Josh,,Zepnick,,,1,D,1,Rep,HD-009
3916,"Timothy Carpenter",Timothy,W.,Carpenter,,,1,D,2,Sen,SD-003
3920,"Scott Fitzgerald",Scott,L.,Fitzgerald,,,2,R,2,Sen,SD-013
3922,"John Nygren",John,,Nygren,,,2,R,1,Rep,HD-089
3926,"Frederick Kessler",Frederick,P.,Kessler,,,1,D,1,Rep,HD-012
3933,"Robin Vos",Robin,,Vos,,,2,R,1,Rep,HD-063
3934,"Jim Ott",Jim,,Ott,,,2,R,1,Rep,HD-023
3938,"Joel Kleefisch",Joel,M.,Kleefisch,,,2,R,1,Rep,HD-038
3942,"Kevin Petersen",Kevin,David,Petersen,,,2,R,1,Rep,HD-040
3943,"Leah Vukmir",Leah,,Vukmir,,,2,R,2,Sen,SD-005
